k,mean_accuracy,mean_f1
1,0.8548798922995304,0.8597598630563867
2,0.8472708401866251,0.8381476301340879
3,0.8802145199146357,0.8853463435447846
4,0.8789467005639189,0.8789565897404223
5,0.8814763875974594,0.8867897040746904
1,0.8548798922995304,0.8597598630563867
2,0.8472708401866251,0.8381476301340879
3,0.8802145199146357,0.8853463435447846
4,0.8789467005639189,0.8789565897404223
5,0.8814763875974594,0.8867897040746904
1,0.8548798922995304,0.8597598630563867
2,0.8472708401866251,0.8381476301340879
3,0.8802145199146357,0.8853463435447846
4,0.8789467005639189,0.8789565897404223
5,0.8814763875974594,0.8867897040746904
1,0.8548798922995304,0.8597598630563867
2,0.8472708401866251,0.8381476301340879
3,0.8802145199146357,0.8853463435447846
4,0.8789467005639189,0.8789565897404223
5,0.8814763875974594,0.8867897040746904
